"Daily exchange rates by time, type and currency"

" ","Exchange rates (DKK per 100 units of foreign currency)"," "," "," "
" ","Euro  (Jan. 1999-)","US Dollars  (Jan. 1977-)","UK Pounds Sterling  (Jan. 1981-)","Japanese Yen  (Jan. 1981-)"
"2020M12D14",744.2100,611.9100,820.5200,5.9013
"2020M12D15",744.2700,613.0700,819.7300,5.9032
"2020M12D16",744.1500,610.5100,827.2900,5.9074
"2020M12D17",743.9800,607.5300,826.1900,5.8957
"2020M12D18",743.9300,606.8400,819.0500,5.8720
"2020M12D21",744.0100,611.2000,812.1500,5.9030
"2020M12D22",744.0100,607.9000,816.2700,5.8806
"2020M12D23",743.8000,611.3800,820.0700,5.9036
"2020M12D28",743.6100,608.5700,822.5000,5.8765
"2020M12D29",743.8200,606.7500,818.6200,5.8463
"2020M12D30",743.9300,605.7600,823.7800,5.8776
"2021M01D04",743.7900,604.9000,824.9700,5.8742
"2021M01D05",743.8700,606.2000,823.4800,5.8920
"2021M01D06",743.9300,602.9600,820.8000,5.8563
"2021M01D07",743.9200,606.0000,824.8400,5.8516
"2021M01D08",743.6900,607.0900,825.1500,5.8439
"2021M01D11",743.7200,611.4600,824.2000,5.8672
"2021M01D12",743.8500,611.6700,831.6700,5.8691
"2021M01D13",743.9200,611.4700,836.0200,5.8836
"2021M01D14",743.9300,613.6000,836.4100,5.8944
"2021M01D15",743.9300,613.6500,835.9000,5.9164
"2021M01D18",743.9300,616.6500,835.1900,5.9429
"2021M01D19",743.9300,613.2000,834.9400,5.8967
"2021M01D20",743.8200,614.6800,839.8800,5.9212
"2021M01D21",743.9500,611.9000,839.4400,5.9175
"2021M01D22",744.0400,611.9800,835.5800,5.8962
"2021M01D25",744.0600,612.2900,837.9100,5.9024
"2021M01D26",743.9000,612.6200,838.6900,5.9073
"2021M01D27",743.7700,613.9800,841.4200,5.9090
"2021M01D28",743.6800,615.0700,839.3400,5.8929
"2021M01D29",743.7000,612.8000,841.4500,5.8536
"2021M02D01",743.7300,615.4700,843.2300,5.8668
"2021M02D02",743.7300,617.5100,844.4300,5.8811
"2021M02D03",743.7500,618.9100,843.7800,5.8911
"2021M02D04",743.6700,619.9300,848.0400,5.8909
"2021M02D05",743.6200,620.5600,849.4800,5.8682
"2021M02D08",743.6500,618.4200,846.6600,5.8569
"2021M02D09",743.6900,614.4200,846.7600,5.8753
"2021M02D10",743.7300,613.2800,848.5200,5.8543
"2021M02D11",743.8000,612.3300,847.5900,5.8512
"2021M02D12",743.6100,614.1500,847.3900,5.8483
"2021M02D15",743.6600,613.1300,852.5800,5.8226
