"Daily exchange rates by time, type and currency"

" ","Exchange rates (DKK per 100 units of foreign currency)"," "," "," "
" ","Euro  (Jan. 1999-)","US Dollars  (Jan. 1977-)","UK Pounds Sterling  (Jan. 1981-)","Japanese Yen  (Jan. 1981-)"
"2023M02D02",743.9300,677.0400,833.1700,5.2716
"2023M02D03",744.4300,680.6500,834.1000,5.3003
"2023M02D06",744.3200,690.7200,833.7100,5.2266
"2023M02D07",744.1500,695.4700,832.9600,5.2665
"2023M02D08",744.2100,693.2600,838.0700,5.2852
"2023M02D09",744.1900,690.9200,840.7500,5.2854
"2023M02D10",744.4500,696.4000,842.6300,5.3221
"2023M02D13",744.8500,697.0300,843.7300,5.2584
"2023M02D14",745.1400,692.5700,845.5500,5.2423
"2023M02D15",745.1500,696.4000,838.9000,5.2090
"2023M02D16",744.9000,696.1700,838.0700,5.1978
"2023M02D17",744.6400,700.8400,837.7300,5.2007
"2023M02D20",744.6100,697.5900,839.1100,5.2038
"2023M02D21",744.5600,698.2000,846.8100,5.1792
"2023M02D22",744.5900,699.5400,846.6500,5.1982
"2023M02D23",744.2900,701.1000,844.4400,5.1932
"2023M02D24",744.3800,704.2400,843.5400,5.1855
"2023M02D27",744.2600,705.1900,845.0500,5.1728
"2023M02D28",744.4300,701.0400,848.8300,5.1259
"2023M03D01",744.3100,696.6600,840.3300,5.1396
"2023M03D02",744.1700,701.7200,838.1700,5.1297
"2023M03D03",744.1200,701.0100,840.5300,5.1478
"2023M03D06",744.2300,699.0700,839.7000,5.1454
"2023M03D07",744.2600,697.8500,836.5500,5.1254
"2023M03D08",744.1200,705.6600,835.4000,5.1425
"2023M03D09",744.2100,705.1400,837.9400,5.1746
"2023M03D10",744.2500,703.0500,843.2700,5.1434
"2023M03D13",744.4400,695.3500,842.4100,5.2440
"2023M03D14",744.4700,693.3700,845.4700,5.1667
"2023M03D15",744.4600,705.7200,853.3200,5.3362
"2023M03D16",744.7600,702.9400,848.0500,5.3129
"2023M03D17",744.5000,700.8400,850.9700,5.2963
"2023M03D20",744.5000,694.6900,850.2700,5.2888
"2023M03D21",744.6500,691.0300,845.8800,5.2209
"2023M03D22",744.7200,690.5100,846.9900,5.2031
"2023M03D23",744.8200,684.6400,841.3900,5.2133
"2023M03D24",745.1900,693.5200,847.3800,5.3285
"2023M03D27",745.1500,691.6800,848.5200,5.2609
"2023M03D28",744.9200,687.1300,847.1000,5.2574
"2023M03D29",744.9500,686.7800,846.6500,5.1884
"2023M03D30",744.9300,684.3000,844.9400,5.1581
"2023M03D31",744.8500,684.9200,847.1900,5.1429
"2023M04D03",745.0400,685.4100,848.6600,5.1556
"2023M04D04",745.1300,683.5400,853.2100,5.1410
"2023M04D05",744.9800,680.9700,849.6100,5.1828
"2023M04D11",745.0500,683.2200,849.1800,5.1284
"2023M04D12",745.0600,682.1600,846.2900,5.1000
"2023M04D13",745.0900,676.4300,846.1400,5.0752
"2023M04D14",745.1000,673.8700,842.4900,5.0825
"2023M04D17",745.2000,678.6300,843.2400,5.0704
"2023M04D18",745.1300,679.1200,845.3600,5.0727
"2023M04D19",745.1400,681.5500,845.7100,5.0607
"2023M04D20",745.2400,680.9600,845.3900,5.0538
"2023M04D21",745.2700,678.8800,841.4500,5.0726
"2023M04D24",745.3000,677.4200,842.5000,5.0300
"2023M04D25",745.3000,676.1900,840.7700,5.0389
"2023M04D26",745.3400,675.1900,841.6200,5.0473
"2023M04D27",745.3800,675.0400,842.9200,5.0651
"2023M04D28",745.3800,678.7900,846.5400,4.9908
"2023M05D01",..,..,..,..
"2023M05D02",745.3800,679.7800,848.3000,4.9461
"2023M05D03",745.1400,674.7600,844.2100,4.9789
"2023M05D04",745.0300,672.7700,846.4800,5.0029
"2023M05D08",744.7300,674.7600,853.7700,4.9932
"2023M05D09",744.5200,679.3700,855.8700,5.0316
"2023M05D10",744.7800,680.1600,857.9100,5.0262
"2023M05D11",744.8400,681.4600,858.1600,5.0828
"2023M05D12",744.8400,683.8400,855.9400,5.0662
"2023M05D15",744.7100,684.7300,856.5500,5.0267
"2023M05D16",744.6800,684.3900,856.5600,5.0354
"2023M05D17",744.7600,687.7500,857.0800,5.0216
"2023M05D22",744.7800,688.2100,857.5900,4.9771
"2023M05D23",744.7500,690.9300,856.1000,4.9916
"2023M05D24",744.7700,690.5600,856.1300,4.9884
"2023M05D25",745.0200,694.0100,858.3900,4.9791
"2023M05D26",744.8900,692.8600,858.0400,4.9580
"2023M05D30",744.8600,693.2800,862.4600,4.9654
"2023M05D31",744.8000,697.1800,861.9900,4.9943
"2023M06D01",744.7700,696.2400,867.8000,4.9901
"2023M06D02",744.8800,692.0700,866.8500,4.9838
"2023M06D06",744.9400,697.3100,865.1700,4.9966
"2023M06D07",744.9400,695.1000,866.5100,4.9855
"2023M06D08",744.9800,693.8400,865.1200,4.9672
"2023M06D09",745.0500,691.1400,868.4100,4.9591
"2023M06D12",745.2000,692.2400,869.7700,4.9670
"2023M06D13",745.2400,690.4800,868.0700,4.9478
"2023M06D14",745.2900,689.5100,872.1400,4.9288
"2023M06D15",745.2300,688.8200,871.0500,4.8752
"2023M06D16",745.0500,679.4200,872.1400,4.8177
"2023M06D19",744.9800,682.0900,873.6900,4.8082
"2023M06D20",744.9100,681.3400,869.1600,4.8211
"2023M06D21",744.7900,681.8500,867.7700,4.8085
"2023M06D22",744.8600,678.0700,864.9600,4.7732
"2023M06D23",744.8500,684.3500,871.3800,4.7796
"2023M06D26",744.5800,681.9700,867.0200,4.7604
"2023M06D27",744.7400,680.0700,866.0800,4.7393
"2023M06D28",744.6900,680.8300,861.7100,4.7186
"2023M06D29",744.7600,680.8900,861.9900,4.7214
"2023M06D30",744.7400,685.3900,867.7100,4.7387
"2023M07D03",744.6800,683.2600,866.1100,4.7188
"2023M07D04",744.7900,683.6100,869.3400,4.7336
"2023M07D05",744.8200,684.6400,869.2500,4.7362
"2023M07D06",744.9300,683.4800,873.2000,4.7578
"2023M07D07",745.1500,684.3800,873.5800,4.7763
"2023M07D10",745.1200,680.1000,869.1200,4.7847
"2023M07D11",745.2900,678.2100,875.6800,4.8311
"2023M07D12",745.2400,676.1400,872.8700,4.8443
"2023M07D13",745.2300,666.4600,871.0700,4.8129
"2023M07D14",744.8400,663.7900,870.2400,4.7897
"2023M07D17",745.0400,663.4400,867.6100,4.7950
"2023M07D18",745.0900,662.0100,868.0200,4.7947
"2023M07D19",745.0700,663.9400,857.2100,4.7529
"2023M07D20",745.0800,665.4300,857.2000,4.7655
"2023M07D21",745.0800,669.8600,859.3200,4.7268
"2023M07D24",745.1400,671.5400,862.9300,4.7622
"2023M07D25",745.1500,674.2800,864.9600,4.7711
"2023M07D26",745.1700,673.8100,869.5600,4.7983
"2023M07D27",745.1800,669.8200,867.6500,4.7783
"2023M07D28",745.2700,676.9000,871.0500,4.8599
"2023M07D31",745.2900,676.1200,868.9900,4.7552
"2023M08D01",745.1800,679.2900,867.8500,4.7509
"2023M08D02",745.1800,678.3600,866.1100,4.7500
"2023M08D03",745.1700,681.6400,861.7900,4.7694
"2023M08D04",745.1400,680.7400,864.5000,4.7732
"2023M08D07",745.1500,678.4000,864.8100,4.7702
"2023M08D08",745.1500,680.8800,864.8600,4.7598
"2023M08D09",745.1100,679.3500,864.6000,4.7354
"2023M08D10",745.1200,676.2100,863.2800,4.7031
"2023M08D11",745.1000,677.1200,862.2300,4.6870
"2023M08D14",745.1500,681.7500,864.2900,4.6959
"2023M08D15",745.1900,682.0300,866.9500,4.6856
"2023M08D16",745.2000,682.6700,870.1000,4.6847
"2023M08D17",745.1800,683.6500,872.6300,4.6902
"2023M08D18",745.1400,685.6900,871.5800,4.7128
"2023M08D21",745.2400,683.2000,871.8800,4.6826
"2023M08D22",745.3500,684.6200,873.9200,4.6966
"2023M08D23",745.3100,689.7800,870.1500,4.7387
"2023M08D24",745.3900,687.6300,870.2700,4.7189
"2023M08D25",745.3700,689.6500,870.3200,4.7250
"2023M08D28",745.3000,689.5800,868.5000,4.7067
"2023M08D29",745.2900,689.8900,868.0300,4.6894
"2023M08D30",745.3100,684.6500,867.4500,4.6831
"2023M08D31",745.2300,685.7100,869.4000,4.7021
"2023M09D01",745.2800,687.2700,871.2900,4.7328
"2023M09D04",745.2700,690.0000,871.1500,4.7136
"2023M09D05",745.3300,694.5600,871.3700,4.7113
"2023M09D06",745.6300,693.9300,872.0500,4.7138
"2023M09D07",745.9900,696.5400,868.4400,4.7304
"2023M09D08",745.9100,696.8500,870.0200,4.7257
"2023M09D11",745.8200,695.4700,870.7800,4.7456
"2023M09D12",746.0100,696.3600,868.2100,4.7390
"2023M09D13",746.0900,695.1400,866.6400,4.7137
"2023M09D14",746.0100,695.2600,867.5000,4.7177
"2023M09D15",745.7300,699.6900,868.3600,4.7348
"2023M09D18",745.5100,699.1600,865.4500,4.7352
"2023M09D19",745.5100,695.8900,864.2300,4.7125
"2023M09D20",745.2800,696.3900,861.3000,4.7086
"2023M09D21",745.4700,700.9600,859.7000,4.7380
"2023M09D22",745.5700,700.2600,859.0000,4.7227
"2023M09D25",745.7100,701.3200,857.4800,4.7173
"2023M09D26",745.7500,703.2100,856.9900,4.7238
"2023M09D27",745.6600,707.7300,858.9600,4.7434
"2023M09D28",745.5800,707.4500,863.6100,4.7390
"2023M09D29",745.7100,703.9000,862.5100,4.7167
"2023M10D02",745.8500,708.3100,860.9800,4.7304
"2023M10D03",745.8400,712.4300,859.5100,4.7503
"2023M10D04",745.8900,710.5700,861.4200,4.7667
"2023M10D05",745.7800,708.5100,861.1300,4.7590
"2023M10D06",745.7500,706.0000,862.0400,4.7358
"2023M10D09",745.7100,708.1100,861.8900,4.7479
"2023M10D10",745.6400,704.6300,863.1100,4.7279
"2023M10D11",745.6700,703.2000,864.3900,4.7233
"2023M10D12",745.6200,702.1600,864.3900,4.7087
"2023M10D13",745.8200,708.6800,863.0700,4.7372
"2023M10D16",745.9200,707.8400,861.8900,4.7348
"2023M10D17",746.1000,705.9300,859.3600,4.7213
"2023M10D18",746.1000,706.2000,861.4500,4.7192
"2023M10D19",746.2500,706.8100,856.7900,4.7168
"2023M10D20",746.2000,704.5600,855.6100,4.6990
"2023M10D23",746.3400,704.2900,856.3600,4.6966
"2023M10D24",746.4800,702.1100,857.7800,4.6872
"2023M10D25",746.3900,705.7400,855.5600,4.7076
"2023M10D26",746.3200,708.0800,856.1700,4.7092
"2023M10D27",746.3900,708.0800,857.6900,4.7216
"2023M10D30",746.3900,703.8100,854.5300,4.7002
"2023M10D31",746.4700,702.9600,854.4200,4.6567
"2023M11D01",746.4400,708.4000,858.5200,4.6849
"2023M11D02",746.3500,700.0800,854.8800,4.6679
"2023M11D03",746.2500,697.3000,857.9300,4.6679
"2023M11D06",745.8700,694.4100,860.8800,4.6365
"2023M11D07",745.7700,697.8900,858.6400,4.6387
"2023M11D08",745.8000,698.9000,857.0900,4.6332
"2023M11D09",745.8400,697.6300,855.2700,4.6162
"2023M11D10",745.7700,698.0900,852.9400,4.6101
"2023M11D13",745.9800,699.1400,855.9200,4.6060
"2023M11D14",745.9700,695.6100,855.1800,4.5858
"2023M11D15",745.8800,686.3100,855.4800,4.5650
"2023M11D16",745.9200,687.5500,852.2900,4.5469
"2023M11D17",745.8200,686.0000,853.3900,4.5956
"2023M11D20",745.6500,682.3300,850.9100,4.5994
"2023M11D21",745.5600,680.5700,853.7700,4.6133
"2023M11D22",745.4700,683.2300,856.5700,4.5946
"2023M11D23",745.5900,684.0300,857.5900,4.5747
"2023M11D24",745.5900,683.0200,858.8000,4.5658
"2023M11D27",745.5400,680.8000,860.2000,4.5778
"2023M11D28",745.6000,680.9800,858.7900,4.5815
"2023M11D29",745.6500,678.7900,861.7700,4.5994
"2023M11D30",745.4800,681.9900,863.1400,4.6249
"2023M12D01",745.4300,685.4500,866.3300,4.6260
"2023M12D04",745.6400,686.0900,869.1500,4.6757
"2023M12D05",745.5900,689.2800,869.7700,4.6854
"2023M12D06",745.5700,691.7500,870.8900,4.6980
"2023M12D07",745.5100,692.1500,869.4000,4.7734
"2023M12D08",745.5800,691.8300,870.0900,4.7938
"2023M12D11",745.6300,693.1600,871.2700,4.7330
"2023M12D12",745.6900,690.2000,867.8100,4.7545
"2023M12D13",745.6600,691.2600,865.8400,4.7455
"2023M12D14",745.6600,682.9000,867.5000,4.8169
"2023M12D15",745.5600,681.1300,868.6200,4.8054
"2023M12D18",745.4900,682.8100,864.2100,4.7803
"2023M12D19",745.6400,680.2000,866.0700,4.7133
"2023M12D20",745.6500,681.3300,861.4800,4.7457
"2023M12D21",745.5800,678.8500,858.9100,4.7553
"2023M12D22",745.6000,676.4000,860.3700,4.7594
"2023M12D27",745.4900,673.7400,858.5600,4.7240
"2023M12D28",745.4500,670.7300,856.2500,4.7611
"2023M12D29",745.2900,674.4700,857.5900,4.7674
"2024M01D02",745.5100,680.4600,860.4200,4.7887
"2024M01D03",745.8100,683.0400,862.5100,4.7759
"2024M01D04",745.9000,681.0000,864.5300,4.7236
"2024M01D05",745.8400,682.9400,865.1400,4.7035
"2024M01D08",746.1500,681.6600,866.1100,4.7168
"2024M01D09",745.7700,681.6900,867.8000,4.7311
"2024M01D10",745.8200,681.3600,867.0000,4.6898
"2024M01D11",745.6800,678.6900,865.6100,4.6690
"2024M01D12",745.6500,681.4600,867.5400,4.6846
"2024M01D15",745.9000,681.5000,866.5700,4.6715
"2024M01D16",745.8200,685.3700,866.4500,4.6719
"2024M01D17",745.8600,685.7200,869.1200,4.6428
"2024M01D18",745.7100,685.7100,869.4000,4.6349
"2024M01D19",745.7500,684.9900,868.9200,4.6271
"2024M01D22",745.8500,684.8900,871.5700,4.6340
"2024M01D23",745.7400,685.9300,872.2800,4.6354
"2024M01D24",745.6800,683.8000,871.7000,4.6471
"2024M01D25",745.6000,684.4800,871.6600,4.6365
"2024M01D26",745.4900,685.7600,873.2700,4.6413
"2024M01D29",745.3800,688.7000,874.3500,4.6548
"2024M01D30",745.4300,687.2900,870.5400,4.6598
"2024M01D31",745.5000,687.9200,872.5900,4.6538
"2024M02D01",745.4200,689.3100,873.3400,4.6894
"2024M02D02",745.4000,684.9200,874.2400,4.6710
"2024M02D05",745.6000,693.8400,871.0800,4.6682
"2024M02D06",746.0500,694.4500,872.9800,4.6757
"2024M02D07",745.8600,692.1500,874.3400,4.6701
"2024M02D08",745.6200,693.0800,873.3200,4.6442
"2024M02D09",745.3600,691.9400,872.3800,4.6296
"2024M02D12",745.4800,691.9900,873.0200,4.6444
"2024M02D13",745.4800,690.7100,876.0300,4.6254
"2024M02D14",745.3700,695.7600,874.2500,4.6216
"2024M02D15",745.4700,693.9100,870.5200,4.6228
"2024M02D16",745.4600,692.2900,870.8100,4.6050
"2024M02D19",745.4700,691.7900,872.4300,4.6133
"2024M02D20",745.4200,690.0800,870.2100,4.5963
"2024M02D21",745.4500,689.6600,870.6600,4.5981
"2024M02D22",745.4000,687.3800,870.5400,4.5696
"2024M02D23",745.4400,688.0600,873.4900,4.5758
"2024M02D26",745.4200,686.9000,871.8900,4.5625
"2024M02D27",745.5100,686.7300,870.7200,4.5726
"2024M02D28",745.4000,689.6700,871.3200,4.5767
"2024M02D29",745.4000,688.5300,870.2400,4.5862
"2024M03D01",745.4300,689.3800,870.9500,4.5782
"2024M03D04",745.3900,687.2500,870.9600,4.5668
"2024M03D05",745.4200,687.0900,871.4000,4.5728
"2024M03D06",745.4400,685.5300,871.8800,4.5825
"2024M03D07",745.5200,684.2800,872.5100,4.6280
"2024M03D08",745.4700,681.9200,875.2900,4.6305
"2024M03D11",745.5200,682.3400,874.9400,4.6470
"2024M03D12",745.7100,683.1300,872.6000,4.6205
"2024M03D13",745.7300,681.7200,872.7000,4.6081
"2024M03D14",745.6800,682.5400,872.9600,4.6115
"2024M03D15",745.7100,684.6400,873.0900,4.6023
"2024M03D18",745.7300,684.6600,871.9400,4.5888
"2024M03D19",745.7100,687.0400,872.7400,4.5645
"2024M03D20",745.7200,687.6800,872.8200,4.5322
"2024M03D21",745.7900,683.7700,870.4600,4.5210

